id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
230,200,ANU,ACT,149.119000000000000,-35.277700000000003,1,763.048031349650728
21820,200,Australian National University,ACT,149.118899999999996,-35.277700000000003,1,772.144671270619824
232,800,DARWIN,NT,130.836680000000001,-12.458684000000000,5,10564.983623089347020
24049,800,DARWIN CITY,NT,130.836680000000001,-12.458684000000000,5,10564.983623089347020
233,801,DARWIN,NT,130.836680000000001,-12.458684000000000,5,10564.983623089347020
24055,803,WAGAIT BEACH,NT,130.745908299999996,-12.433991260000001,5,16506.980166591911257
234,804,PARAP,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
235,810,ALAWA,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
236,810,BRINKIN,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
237,810,CASUARINA,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
19972,810,COCONUT GROVE,NT,130.850236899999999,-12.396141660000000,5,4456.251190689498799
239,810,JINGILI,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
240,810,LEE POINT,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
19973,810,LYONS,NT,130.888515100000006,-12.359119560000000,5,1927.982222112045065
241,810,MILLNER,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
242,810,MOIL,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
19974,810,MUIRHEAD,NT,130.895902900000010,-12.358119470000000,5,2290.794698083549520
243,810,NAKARA,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
244,810,NIGHTCLIFF,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
245,810,RAPID CREEK,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
246,810,TIWI,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
247,810,WAGAMAN,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
248,810,WANGURI,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
249,811,CASUARINA,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
19975,812,ANULA,NT,130.890469999999993,-12.391248850000000,5,1719.089746233283222
19976,812,BUFFALO CREEK,NT,130.920983100000001,-12.346386340000000,5,5052.205762803869220
19977,812,HOLMES,NT,130.926860199999993,-12.384799510000001,5,4547.283760444737709
251,812,KARAMA,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
252,812,LEANYER,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
253,812,MALAK,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
254,812,MARRARA,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
255,812,NORTHLAKES,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
256,812,SANDERSON,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
